timestamp,memory_GB,cpu_percent,gpu_mem_GB,gpu_util_percent
2025-04-09 09:07:32.278813601,4.0592498779296875,4.0,2.3612060546875,0
2025-04-09 09:07:33.280873537,4.0592498779296875,25.6,2.3612060546875,45
2025-04-09 09:07:34.283849239,4.059062957763672,25.7,2.3612060546875,43
2025-04-09 09:07:35.286118984,4.063133239746094,30.4,2.3612060546875,52
2025-04-09 09:07:36.288434267,4.0631256103515625,25.7,2.3612060546875,50
2025-04-09 09:07:37.290719748,4.0631256103515625,25.7,2.3612060546875,51
2025-04-09 09:07:38.293001175,4.063045501708984,25.7,2.3612060546875,52
2025-04-09 09:07:39.296509266,4.063045501708984,25.9,2.3612060546875,47
2025-04-09 09:07:40.298579693,4.063041687011719,25.5,2.3612060546875,54
2025-04-09 09:07:41.301473379,4.063041687011719,25.6,2.3612060546875,52
2025-04-09 09:07:42.303804159,4.063041687011719,25.9,2.3612060546875,51
2025-04-09 09:07:43.306032181,4.0630035400390625,25.5,2.3612060546875,53
2025-04-09 09:07:44.311246634,4.0630035400390625,25.7,2.3612060546875,51
2025-04-09 09:07:45.312521696,4.068035125732422,28.4,2.3612060546875,52
2025-04-09 09:07:46.314587831,4.068027496337891,25.5,2.3612060546875,41
2025-04-09 09:07:47.316805363,4.068027496337891,25.8,2.3612060546875,49
2025-04-09 09:07:48.318716764,4.068027496337891,25.7,2.3612060546875,50
2025-04-09 09:07:49.321062803,4.0679779052734375,25.7,2.3612060546875,50
2025-04-09 09:07:50.326556206,4.0679779052734375,25.8,2.3612060546875,50
2025-04-09 09:07:51.328472614,4.067974090576172,25.6,2.3612060546875,54
2025-04-09 09:07:52.330166817,4.067974090576172,25.5,2.3612060546875,48
2025-04-09 09:07:53.332168341,4.067974090576172,25.7,2.3612060546875,45
2025-04-09 09:07:54.334404707,4.067935943603516,26.6,2.3612060546875,54
2025-04-09 09:07:55.336489916,4.051136016845703,29.2,2.3612060546875,56
2025-04-09 09:07:56.338766575,4.051136016845703,25.5,2.3612060546875,47
2025-04-09 09:07:57.340817928,4.0511322021484375,25.7,2.3612060546875,50
2025-04-09 09:07:58.343094349,4.0511322021484375,25.7,2.3612060546875,50
2025-04-09 09:07:59.344492912,4.054901123046875,34.7,2.3612060546875,46
2025-04-09 09:08:00.346629620,4.0577850341796875,49.4,2.3612060546875,47
2025-04-09 09:08:01.349407196,4.0577850341796875,25.9,2.3612060546875,51
2025-04-09 09:08:02.351468801,4.0577850341796875,25.5,2.3612060546875,49
2025-04-09 09:08:03.353497505,4.057773590087891,25.8,2.3612060546875,49
2025-04-09 09:08:04.355605602,4.057773590087891,25.6,2.3612060546875,52
2025-04-09 09:08:05.357633829,4.039085388183594,29.9,2.3612060546875,46
2025-04-09 09:08:06.359673262,4.039081573486328,26.1,2.3612060546875,50
2025-04-09 09:08:07.361553431,4.039081573486328,25.4,2.3612060546875,50
2025-04-09 09:08:08.363519907,4.039073944091797,25.6,2.3612060546875,50
2025-04-09 09:08:09.365667343,4.039073944091797,25.9,2.3612060546875,51
2025-04-09 09:08:10.368822813,4.039028167724609,25.7,2.3612060546875,47
2025-04-09 09:08:11.370246410,4.039028167724609,25.8,2.3612060546875,51
2025-04-09 09:08:12.372369766,4.039024353027344,25.7,2.3612060546875,50
2025-04-09 09:08:13.374703407,4.039024353027344,25.7,2.3612060546875,53
2025-04-09 09:08:14.376703262,4.039024353027344,25.8,2.3612060546875,49
2025-04-09 09:08:15.379254103,4.040409088134766,29.3,2.3612060546875,52
2025-04-09 09:08:16.381515980,4.0404052734375,25.5,2.3612060546875,51
2025-04-09 09:08:17.383294821,4.0404052734375,25.9,2.3612060546875,52
2025-04-09 09:08:18.385507107,4.0404052734375,25.5,2.3612060546875,47
2025-04-09 09:08:19.387699604,4.0404052734375,25.8,2.3612060546875,49
2025-04-09 09:08:20.389853477,4.040351867675781,25.5,2.3612060546875,51
2025-04-09 09:08:21.392274857,4.040351867675781,25.7,2.3612060546875,50
2025-04-09 09:08:22.394172907,4.04034423828125,26.1,2.3612060546875,52
2025-04-09 09:08:23.396541595,4.04034423828125,25.5,2.3612060546875,44
2025-04-09 09:08:24.403490067,4.04034423828125,25.9,2.3612060546875,54
2025-04-09 09:08:25.406042099,4.040809631347656,28.8,2.3612060546875,53
2025-04-09 09:08:26.408387423,4.0407867431640625,25.6,2.3612060546875,48
2025-04-09 09:08:27.410815477,4.0407867431640625,26.2,2.3612060546875,50
2025-04-09 09:08:28.413068056,4.040782928466797,25.5,2.3612060546875,50
2025-04-09 09:08:29.415347338,4.040782928466797,26.0,2.3612060546875,55
2025-04-09 09:08:30.417474270,4.040760040283203,26.9,2.3612060546875,52
2025-04-09 09:08:31.419630766,4.034656524658203,53.6,2.3612060546875,49
2025-04-09 09:08:32.421538353,4.034660339355469,32.2,2.3612060546875,52
2025-04-09 09:08:33.423919678,4.034656524658203,25.7,2.3612060546875,54
